,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
2022-03-31,-0.05229988230595495,-0.04904379972523254,-0.07541698661264928,-0.07574188020471562,-0.10628878116492968,-0.030734163663001413,-0.08377192730369942,-0.06074474808504182,0.323787189395365,-0.04821169794317859,-0.009225248198392433,-0.004340689289999977,-0.006480697135999969
2022-06-30,-0.16763917336865453,-0.15427436239213843,-0.17276615387241123,-0.1043021049425209,-0.12593232153075884,-0.0617088061006521,-0.08403326013006018,-0.15391339972732287,0.01986758368734387,-0.09839043987819551,-0.05474984490390189,-0.07946981401700004,-0.04831700368799996
2022-09-30,-0.04512194290759297,-0.024936460913921543,-0.02117908914291411,-0.1301744422159835,-0.10283996041419874,-0.053435279211847875,-0.061505396437466,-0.11054335158048634,-0.10909092710600798,-0.006385877277629515,0.005112317973884117,0.02389724645000002,-0.014079708153999948
2022-12-31,0.06903723601761103,0.10803249752777155,0.06211792747959599,0.10314399701954091,-0.018798580308821644,0.019187800606405236,0.042109712932863586,0.043354512948272195,0.031584043777451276,0.041660715815933225,0.017913089989012976,0.04132929843199995,-0.04989103784500004
2023-03-31,0.07042239454447374,0.038297529930390484,0.026945736016339428,0.04116072755302702,0.07378908744434298,0.035794581975819195,0.0465393588827554,0.016881042504467647,-0.052284443096413113,0.035661890724617784,0.023270961460152284,0.019845761296999997,0.01898950436999991
2023-06-30,0.07651469177349468,0.04838814931605517,0.05262670811021253,0.010388436371373544,-0.024759020922421104,-0.014808623327958625,-0.003750222141716275,0.01762494788004032,-0.03131217901774397,0.017528066087693306,0.016958293142467662,0.021510573162000002,-0.00782614556100003
2023-09-30,-0.033791568913876024,-0.04205076120887852,-0.051799459752796095,-0.04069759774623083,-0.1311174980246731,-0.026739121521919818,-0.046913917445033926,-0.08573340973623267,0.1549512823616832,0.004631798074421045,0.0002944766685279987,-0.0002905384179999748,-0.032340644769000004
2023-12-31,0.11737958799086856,0.11632213015200121,0.13978662224538474,0.07958993620368271,0.12944662639718962,0.04518742925758601,0.10097953892660927,0.1822585789547675,-0.10884054811318644,0.07153957728968097,0.04768842790865846,0.03370465501100006,-0.048288552107000005
2024-03-31,0.09287668188349874,0.09874626163887612,0.05044083827883061,0.021636465360883816,-0.036987216490926955,-0.0007443869076194654,-0.008617331708598575,-0.012911906547024676,0.09970089996241405,0.014744984288131535,0.04956791956923423,0.01985130307500005,0.048472868601000085
2024-06-30,0.027961045763410963,-0.033891698253874836,-0.032542331944040326,0.043916041098403635,-0.02005922231485391,0.008181237668810404,-0.005113486661585731,-0.019412044439714782,0.0040797894273223445,0.010945688423058542,0.0034466133874844207,0.00908080959900004,-0.011728546344000002
2024-09-30,0.06372596494548133,0.06902097816158492,0.09243327569401805,0.07677856716175113,0.07933542993091591,0.040759170566605274,0.06610315909210618,0.17287985168630837,-0.0519187195636881,0.05282814359264365,0.027279484079379746,0.028324212520999925,-0.012126039279000023
2024-12-31,0.02266764641956187,0.003924342877806852,0.003286812791063465,-0.07269917083834765,-0.09728869722579303,-0.030491377709183975,-0.04082555617424344,-0.07676172068214948,0.03666668846493648,0.001745688931660716,0.011402549870243472,0.021337410884000096,0.012822125465000056
